epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
126,14069.9,1.08619,0.30737,0.00255,0.73497,0.49568,0.53675,0.33762,1.66975,1.20066,0.0078,9.46715e-05,9.46715e-05,9.46715e-05
127,14178.6,1.08543,0.30958,0.00254,0.76752,0.47201,0.5361,0.33778,1.67269,1.19955,0.00783,9.25235e-05,9.25235e-05,9.25235e-05
128,14287.9,1.08199,0.30503,0.00255,0.74213,0.49248,0.5349,0.33665,1.66869,1.20685,0.00778,9.03901e-05,9.03901e-05,9.03901e-05
129,14396.6,1.05773,0.29706,0.00253,0.75748,0.49073,0.53456,0.33619,1.66586,1.20493,0.00782,8.82718e-05,8.82718e-05,8.82718e-05
130,14505.3,1.08513,0.30496,0.00251,0.74518,0.49356,0.54201,0.34113,1.66537,1.20604,0.00781,8.6169e-05,8.6169e-05,8.6169e-05
131,14614.4,1.05195,0.29469,0.00251,0.73905,0.49635,0.54122,0.33907,1.66678,1.21205,0.00786,8.40824e-05,8.40824e-05,8.40824e-05
132,14723.1,1.06398,0.30383,0.00246,0.7531,0.49401,0.54037,0.34006,1.66968,1.21262,0.0079,8.20124e-05,8.20124e-05,8.20124e-05
133,14831.7,1.07286,0.29842,0.00247,0.74946,0.49055,0.53995,0.34171,1.66962,1.21573,0.00791,7.99596e-05,7.99596e-05,7.99596e-05
134,14941,1.06526,0.2928,0.00247,0.74743,0.48938,0.53722,0.34283,1.67206,1.2209,0.00794,7.79244e-05,7.79244e-05,7.79244e-05
135,15049.6,1.06467,0.29014,0.00245,0.74944,0.48904,0.53645,0.3392,1.67202,1.22664,0.00787,7.59073e-05,7.59073e-05,7.59073e-05
136,15158.3,1.0707,0.29773,0.00249,0.74707,0.488,0.53486,0.33795,1.67456,1.22907,0.00792,7.3909e-05,7.3909e-05,7.3909e-05
137,15267.5,1.03958,0.28384,0.00242,0.75005,0.48824,0.53595,0.33886,1.67439,1.22969,0.00793,7.19297e-05,7.19297e-05,7.19297e-05
138,15376.2,1.04368,0.29383,0.0024,0.74544,0.48647,0.53498,0.33861,1.67252,1.23274,0.00793,6.99701e-05,6.99701e-05,6.99701e-05
139,15484.9,1.05697,0.29585,0.00241,0.79583,0.45653,0.53549,0.33862,1.6716,1.23938,0.00792,6.80306e-05,6.80306e-05,6.80306e-05
140,15594.3,1.06543,0.29255,0.00232,0.79588,0.45627,0.52806,0.33355,1.67005,1.23541,0.00791,6.61117e-05,6.61117e-05,6.61117e-05
141,15702.9,1.0523,0.28478,0.00234,0.80002,0.45487,0.52862,0.3337,1.67406,1.23616,0.00796,6.42139e-05,6.42139e-05,6.42139e-05
142,15811.5,1.0434,0.28445,0.00236,0.74734,0.48389,0.52835,0.33735,1.67496,1.24119,0.00794,6.23376e-05,6.23376e-05,6.23376e-05
143,15920.7,1.05418,0.29367,0.00239,0.74898,0.48306,0.52817,0.33701,1.67517,1.24173,0.00798,6.04833e-05,6.04833e-05,6.04833e-05
144,16029.3,1.04246,0.28654,0.0023,0.75093,0.48202,0.52917,0.33787,1.67614,1.23393,0.00798,5.86515e-05,5.86515e-05,5.86515e-05
